
Unfinished last clip!
0 2.42 5.28
1 7.56 9.60
2 9.40 11.82
3 12.08 14.34
4 14.52 17.32
5 17.38 19.76
6 22.92 24.06
7 24.08 25.46
8 26.08 27.58
9 28.18 30.36
10 30.50 33.38
11 33.62 36.46
12 36.58 39.00
13 40.38 41.46
14 41.52 43.66
15 44.34 45.86
16 48.16 49.94
17 51.24 53.02
18 54.96 56.96
19 57.52 59.96
20 60.18 62.98
21 65.66 67.48
22 70.18 72.26
23 72.54 74.44
24 74.92 76.96
25 77.26 79.50
26 80.16 81.46
27 80.64 82.44
28 82.68 84.14
29 83.68 85.22
30 89.88 91.82
31 92.66 94.74
32 95.38 97.20
33 97.18 99.32
34 99.34 101.60
35 101.52 103.78
36 103.42 105.98
37 105.60 107.02
38 108.02 111.16
39 110.80 112.46
40 112.38 115.26
41 115.20 117.80
42 118.38 121.26
43 121.38 124.00
44 124.88 127.24
45 127.98 130.46
46 131.42 132.54
47 133.94 136.04
48 135.52 138.16
49 138.78 140.00
50 139.12 140.36
51 143.08 145.22
52 145.98 147.40
53 148.74 150.98
54 152.26 153.34
55 153.28 155.78
56 156.22 158.56
57 157.84 159.12
58 159.66 161.92
59 163.02 165.42
60 165.54 168.24
61 169.94 172.42
62 172.86 175.00
63 175.64 177.92
64 178.58 180.84
65 181.00 183.46
66 189.42 190.66
67 195.16 196.34
68 200.80 203.38
69 203.38 205.50
70 205.76 207.18
71 207.32 208.94
72 209.98 211.72
73 215.24 217.90
74 218.04 219.58
75 220.32 222.14
76 225.00 226.18
77 226.94 228.20
78 227.44 228.68
79 230.62 232.10
80 231.88 233.66
81 234.16 237.04
82 236.42 239.52
83 239.18 240.62
84 243.98 245.34
85 244.50 245.76
86 245.38 246.78
87 247.46 249.34
88 249.30 251.72
89 252.54 254.90
90 257.48 259.70
91 259.48 262.12
92 261.70 263.80
93 275.90 278.78
94 281.78 285.42
95 284.54 0.00
